;Woche 1;Woche 2;Woche 3;Woche 4;Woche 5;Woche 6;Woche 7;Woche 8;Woche 9;Woche 10;Woche 11;Woche 12;Woche 13;Woche 14;Woche 15;Woche 16;Woche 17;Woche 18;Woche 19;Woche 20;Woche 21;Woche 22;Woche 23;Woche 24;Woche 25;Woche 26;Woche 27;Woche 28;Woche 29;Woche 30;Woche 31;Woche 32;Woche 33;Woche 34;Woche 35;Woche 36;Woche 37;Woche 38;Woche 39;Woche 40;;;;;;;
Krafttraining 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Warm Up Mobility 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10 min.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Handstand Push Up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KG;;;;;;;;;4;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;4;6;6;6;7;8;6;8;4;4;4;8;5;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;6;6;6;6;8;8;8;8;4;4;4;8;6;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;6;6;6;6;8;8;8;8;4;4;4;6;6;7;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cossack Squat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KG;12;12;12;16;20;18;16;22;14;14;14;14;14;14;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;8;7;8;8;8;6;6;8;8;6;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;8;8;8;8;8;6;6;8;8;6;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;8;8;8;8;8;6;6;8;8;6;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ring Dips;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KG;;;;10;;6;10;10;10;4;8;8;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;6;8;8;6;8;8;6;6;6;6;4;6;6;7;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;7;8;8;6;8;8;6;6;6;6;6;6;6;7;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;8;8;8;6;8;6;6;6;6;6;6;6;6;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB YTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KG;5;5;5;7;6;6;6;8;8;6;6;6;1;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;12;12;12;12;12;12;12;9;9;9;9;9;12;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;12;12;12;12;12;12;12;9;9;9;9;9;12;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WD;12;12;12;12;12;12;12;9;9;9;9;9;12;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
